x,y,estimate,variance
12.328767,0.000000,13.600014,0.294475
12.524462,0.000000,13.646661,0.293196
12.720157,0.000000,13.693106,0.291572
12.915851,0.000000,13.739335,0.289615
13.111546,0.000000,13.785332,0.287336
13.307241,0.000000,13.831081,0.284751
13.502935,0.000000,13.876562,0.281879
13.698630,0.000000,13.921754,0.278739
13.894325,0.000000,13.966639,0.275357
14.090020,0.000000,14.011201,0.271758
14.285714,0.000000,14.055414,0.267974
14.481409,0.000000,14.099250,0.264038
14.677104,0.000000,14.142682,0.259984
14.872798,0.000000,14.185685,0.255852
15.068493,0.000000,14.228226,0.251678
15.264188,0.000000,14.270275,0.247502
15.459883,0.000000,14.311800,0.243357
15.655577,0.000000,14.352772,0.239270
15.851272,0.000000,14.393165,0.235260
16.046967,0.000000,14.432955,0.231335
16.242661,0.000000,14.472102,0.227492
16.438356,0.000000,14.510587,0.223715
16.634051,0.000000,14.548403,0.219981
16.829746,0.000000,14.585550,0.216251
17.025440,0.000000,14.622031,0.212479
17.221135,0.000000,14.657854,0.208610
17.416830,0.000000,14.693031,0.204583
17.612524,0.000000,14.727573,0.200337
17.808219,0.000000,14.761491,0.195812
18.003914,0.000000,14.794794,0.190952
18.199609,0.000000,14.827486,0.185709
18.395303,0.000000,14.859563,0.180044
18.590998,0.000000,14.891011,0.173936
18.786693,0.000000,14.921802,0.167379
18.982387,0.000000,14.951896,0.160393
19.178082,0.000000,14.981217,0.153032
19.373777,0.000000,15.009656,0.145395
19.569472,0.000000,15.037064,0.137637
19.765166,0.000000,15.063238,0.129983
19.960861,0.000000,15.087910,0.122749
20.156556,0.000000,15.110745,0.116338
20.352250,0.000000,15.131363,0.111227
20.547945,0.000000,15.149388,0.107897
20.743640,0.000000,15.164541,0.106720
20.939335,0.000000,15.176725,0.107839
21.135029,0.000000,15.186066,0.111117
21.330724,0.000000,15.192864,0.116185
21.526419,0.000000,15.197506,0.122567
21.722114,0.000000,15.200384,0.129787
21.917808,0.000000,15.201844,0.137429
22.113503,0.000000,15.202164,0.145162
22.309198,0.000000,15.201564,0.152733
22.504892,0.000000,15.200210,0.159959
22.700587,0.000000,15.198229,0.166707
22.896282,0.000000,15.195718,0.172883
23.091977,0.000000,15.192753,0.178422
23.287671,0.000000,15.189419,0.183284
23.483366,0.000000,15.185765,0.187443
23.679061,0.000000,15.181826,0.190883
23.874755,0.000000,15.177628,0.193598
24.070450,0.000000,15.173193,0.195587
24.266145,0.000000,15.168537,0.196854
24.461840,0.000000,15.163673,0.197405
24.657534,0.000000,15.158608,0.197244
24.853229,0.000000,15.153308,0.196381
25.048924,0.000000,15.147681,0.194824
25.244618,0.000000,15.141726,0.192581
25.440313,0.000000,15.135440,0.189661
25.636008,0.000000,15.128817,0.186073
25.831703,0.000000,15.121842,0.181829
26.027397,0.000000,15.114500,0.176946
26.223092,0.000000,15.106767,0.171448
26.418787,0.000000,15.098612,0.165372
26.614481,0.000000,15.089991,0.158770
26.810176,0.000000,15.080846,0.151722
27.005871,0.000000,15.071089,0.144341
27.201566,0.000000,15.060613,0.136784
27.397260,0.000000,15.049284,0.129267
27.592955,0.000000,15.036929,0.122065
27.788650,0.000000,15.023340,0.115508
27.984344,0.000000,15.008282,0.109950
28.180039,0.000000,14.991531,0.105697
28.375734,0.000000,14.972910,0.102917
28.571429,0.000000,14.952319,0.101569
28.767123,0.000000,14.929775,0.101418
28.962818,0.000000,14.905386,0.102132
29.158513,0.000000,14.879391,0.103419
29.354207,0.000000,14.851986,0.105105
29.549902,0.000000,14.823311,0.107140
29.745597,0.000000,14.793491,0.109540
29.941292,0.000000,14.762645,0.112312
30.136986,0.000000,14.730888,0.115398
30.332681,0.000000,14.698337,0.118667
30.528376,0.000000,14.665101,0.121934
30.724070,0.000000,14.631276,0.125003
30.919765,0.000000,14.596950,0.127694
